,Aplicata        ,Aconfragosus    ,Cnecki          ,Cnodulata       ,Cpetrina        ,Cpustulosa      ,Ctampicoensis   ,Faskewi         ,Fchunii         ,Fflava          ,Fmitchelli      ,Fiheringi       ,Grotundata      ,Lbracteata      ,Lbergmanni      ,Lhydiana        ,Lsatura         ,Lteres          ,Lcomplanata     ,Vlienosa        ,Mnervosa        ,Oreflexa        ,Oarkansasensis  ,Pdombeyanus     ,Priddellii      ,Ppopeii         ,Pamphichaenus   ,Pfragilis       ,Pmetnecktayi    ,Pohiensis       ,Ppurpuratus     ,Pstreckersoni   ,Pgrandis        ,Qquadrula       ,Lsubrostrata    ,Sundulatus,Ttexasiense     ,Tparvum         ,Tverrucosa      ,Tnobilis        ,Tcognata        ,Tdonaciformis   ,Tmacrodon       ,Ttruncata       ,Utetralasmus    ,Uimbecillis     ,Usuborbiculata  ,Lsietmani
Red,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0
Sulphur,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0
Cypress,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
Sabine,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
Neches,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
Trinity,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
San Jacinto,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
Brazos,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0
Colorado,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0
Guadalupe,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0
Nueces,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0
Rio Grande,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0
